ts,phase,index,temp_c,fan_pct,power_w,power_limit_w,mem_used_mib,mem_total_mib,util_pct
1777907036.255,pflash_load,0,51,0,28.92,230.00,1,24576,0
1777907036.255,pflash_load,1,52,0,23.08,230.00,1,24576,0
1777907037.309,niah_ctx16372,0,54,0,61.36,230.00,4348,24576,1
1777907037.309,niah_ctx16372,1,52,0,25.83,230.00,1,24576,0
1777907038.355,niah_ctx32764,0,58,57,210.91,230.00,6972,24576,100
1777907038.355,niah_ctx32764,1,52,0,27.22,230.00,1,24576,0
1777907039.401,niah_ctx32764,0,59,54,223.68,230.00,6984,24576,99
1777907039.401,niah_ctx32764,1,52,0,23.30,230.00,1,24576,0
1777907040.447,niah_ctx65524,0,58,56,211.54,230.00,11004,24576,100
1777907040.447,niah_ctx65524,1,52,0,23.00,230.00,1,24576,0
1777907041.492,niah_ctx65524,0,59,59,224.04,230.00,10954,24576,99
1777907041.492,niah_ctx65524,1,52,0,22.92,230.00,1,24576,0
1777907042.536,niah_ctx65524,0,60,62,227.43,230.00,10954,24576,99
1777907042.536,niah_ctx65524,1,52,0,22.91,230.00,1,24576,0
1777907043.583,niah_ctx65524,0,60,63,226.14,230.00,11482,24576,100
1777907043.583,niah_ctx65524,1,52,0,22.81,230.00,1,24576,0
1777907044.715,niah_ctx131068,0,59,64,190.93,230.00,18702,24576,100
1777907044.715,niah_ctx131068,1,52,0,22.77,230.00,1,24576,0
1777907045.761,niah_ctx131068,0,60,65,221.91,230.00,18944,24576,100
1777907045.761,niah_ctx131068,1,52,0,22.94,230.00,1,24576,0
1777907046.805,niah_ctx131068,0,60,65,227.38,230.00,19138,24576,99
1777907046.805,niah_ctx131068,1,52,0,22.93,230.00,1,24576,0
1777907047.850,niah_ctx131068,0,61,65,227.67,230.00,18944,24576,100
1777907047.850,niah_ctx131068,1,52,0,22.81,230.00,1,24576,0
1777907048.894,niah_ctx131068,0,61,66,227.86,230.00,19138,24576,99
1777907048.894,niah_ctx131068,1,52,0,22.87,230.00,1,24576,0
1777907049.945,niah_ctx131068,0,61,66,227.93,230.00,19138,24576,100
1777907049.945,niah_ctx131068,1,52,0,22.92,230.00,1,24576,0
1777907051.001,niah_ctx131068,0,61,66,227.80,230.00,18944,24576,100
1777907051.001,niah_ctx131068,1,52,0,23.00,230.00,1,24576,0
1777907052.057,niah_ctx131068,0,61,66,228.89,230.00,19138,24576,99
1777907052.057,niah_ctx131068,1,51,0,22.97,230.00,1,24576,0
1777907053.102,niah_ctx131068,0,60,67,219.70,230.00,21024,24576,94
1777907053.102,niah_ctx131068,1,51,0,22.80,230.00,1,24576,0
1777907054.223,niah_ctx131068,0,60,67,191.47,230.00,21024,24576,93
1777907054.223,niah_ctx131068,1,51,0,22.93,230.00,1,24576,0
1777907055.359,niah_ctx131068,0,59,67,190.35,230.00,2046,24576,92
1777907055.359,niah_ctx131068,1,51,0,22.99,230.00,1,24576,0
1777907056.402,cleanup,0,59,67,178.23,230.00,4080,24576,100
1777907056.402,cleanup,1,51,0,22.87,230.00,1,24576,0
