ts,phase,index,temp_c,fan_pct,power_w,power_limit_w,mem_used_mib,mem_total_mib,util_pct
1777906521.933,pflash_load,0,48,59,29.66,230.00,1,24576,0
1777906521.933,pflash_load,1,52,0,22.85,230.00,1,24576,0
1777906522.984,pflash_load,0,48,59,29.83,230.00,1,24576,0
1777906522.984,pflash_load,1,52,0,22.95,230.00,1,24576,0
1777906524.036,pflash_load,0,48,59,29.70,230.00,1,24576,0
1777906524.036,pflash_load,1,52,0,22.90,230.00,1,24576,0
1777906525.102,pflash_load,0,48,59,29.72,230.00,1,24576,0
1777906525.102,pflash_load,1,52,0,22.82,230.00,1,24576,0
1777906526.160,pflash_load,0,48,59,29.68,230.00,1,24576,0
1777906526.160,pflash_load,1,52,0,22.88,230.00,1,24576,0
1777906527.210,pflash_load,0,47,59,29.60,230.00,1,24576,0
1777906527.210,pflash_load,1,52,0,22.77,230.00,1,24576,0
1777906528.259,pflash_load,0,47,59,29.63,230.00,1,24576,0
1777906528.259,pflash_load,1,52,0,22.74,230.00,1,24576,0
1777906529.307,pflash_load,0,47,59,29.63,230.00,1,24576,0
1777906529.307,pflash_load,1,52,0,22.78,230.00,1,24576,0
1777906530.358,pflash_load,0,47,59,29.61,230.00,1,24576,0
1777906530.358,pflash_load,1,52,0,22.95,230.00,1,24576,0
1777906531.408,pflash_load,0,47,58,29.59,230.00,1,24576,0
1777906531.408,pflash_load,1,52,0,22.83,230.00,1,24576,0
1777906532.458,pflash_load,0,47,58,29.58,230.00,1,24576,0
1777906532.458,pflash_load,1,52,0,22.59,230.00,1,24576,0
1777906533.507,pflash_load,0,47,58,29.59,230.00,1,24576,0
1777906533.507,pflash_load,1,52,0,22.78,230.00,1,24576,0
1777906534.557,pflash_load,0,47,58,29.53,230.00,1,24576,0
1777906534.557,pflash_load,1,52,0,22.69,230.00,1,24576,0
1777906535.607,pflash_load,0,47,58,29.58,230.00,1,24576,0
1777906535.607,pflash_load,1,52,0,22.60,230.00,1,24576,0
1777906536.657,pflash_load,0,47,58,29.68,230.00,1,24576,0
1777906536.657,pflash_load,1,52,0,22.83,230.00,1,24576,0
1777906537.707,pflash_load,0,47,58,29.70,230.00,1,24576,0
1777906537.707,pflash_load,1,52,0,22.84,230.00,1,24576,0
1777906538.757,pflash_load,0,47,58,29.62,230.00,1,24576,0
1777906538.757,pflash_load,1,52,0,22.89,230.00,1,24576,0
1777906539.806,pflash_load,0,46,58,29.59,230.00,1,24576,0
1777906539.806,pflash_load,1,52,0,23.07,230.00,1,24576,0
1777906540.856,pflash_load,0,46,58,29.60,230.00,1,24576,0
1777906540.856,pflash_load,1,52,0,22.84,230.00,1,24576,0
1777906541.906,pflash_load,0,46,58,29.58,230.00,1,24576,0
1777906541.906,pflash_load,1,52,0,22.67,230.00,1,24576,0
1777906542.955,pflash_load,0,46,58,29.58,230.00,1,24576,0
1777906542.955,pflash_load,1,52,0,22.70,230.00,1,24576,0
1777906544.006,pflash_load,0,46,58,29.60,230.00,1,24576,0
1777906544.006,pflash_load,1,52,0,22.60,230.00,1,24576,0
1777906545.055,pflash_load,0,46,58,29.55,230.00,1,24576,0
1777906545.055,pflash_load,1,52,0,22.52,230.00,1,24576,0
1777906546.105,pflash_load,0,46,58,29.57,230.00,1,24576,0
1777906546.105,pflash_load,1,52,0,22.57,230.00,1,24576,0
1777906547.163,pflash_load,0,46,58,29.81,230.00,1,24576,0
1777906547.163,pflash_load,1,52,0,22.54,230.00,1,24576,0
1777906548.211,pflash_load,0,46,58,29.60,230.00,1,24576,0
1777906548.211,pflash_load,1,52,0,22.46,230.00,1,24576,0
1777906549.264,pflash_load,0,46,58,29.34,230.00,1,24576,0
1777906549.264,pflash_load,1,52,0,22.59,230.00,1,24576,0
1777906550.313,pflash_load,0,46,58,29.31,230.00,1,24576,0
1777906550.313,pflash_load,1,52,0,22.76,230.00,1,24576,0
1777906551.361,pflash_load,0,46,58,29.33,230.00,1,24576,0
1777906551.361,pflash_load,1,52,0,22.85,230.00,1,24576,0
1777906552.409,pflash_load,0,46,58,29.39,230.00,1,24576,0
1777906552.409,pflash_load,1,52,0,22.53,230.00,1,24576,0
1777906553.459,pflash_load,0,46,58,29.31,230.00,1,24576,0
1777906553.459,pflash_load,1,52,0,22.40,230.00,1,24576,0
1777906554.508,pflash_load,0,45,58,29.36,230.00,1,24576,0
1777906554.508,pflash_load,1,52,0,22.68,230.00,1,24576,0
1777906555.557,pflash_load,0,45,58,29.51,230.00,1,24576,0
1777906555.557,pflash_load,1,52,0,22.66,230.00,1,24576,0
1777906556.609,pflash_load,0,45,58,29.32,230.00,1,24576,0
1777906556.609,pflash_load,1,52,0,22.43,230.00,1,24576,0
1777906557.656,pflash_load,0,45,58,29.29,230.00,1,24576,0
1777906557.656,pflash_load,1,51,0,22.53,230.00,1,24576,0
1777906558.705,pflash_load,0,45,58,29.43,230.00,1,24576,0
1777906558.705,pflash_load,1,51,0,22.52,230.00,1,24576,0
1777906559.756,pflash_load,0,45,58,29.25,230.00,1,24576,0
1777906559.756,pflash_load,1,51,0,22.50,230.00,1,24576,0
1777906560.806,pflash_load,0,45,58,29.29,230.00,1,24576,0
1777906560.806,pflash_load,1,51,0,22.55,230.00,1,24576,0
1777906561.856,pflash_load,0,45,58,29.52,230.00,1,24576,0
1777906561.856,pflash_load,1,51,0,22.46,230.00,1,24576,0
1777906562.904,pflash_load,0,45,58,29.49,230.00,1,24576,0
1777906562.904,pflash_load,1,51,0,22.61,230.00,1,24576,0
1777906563.953,pflash_load,0,45,58,29.14,230.00,1,24576,0
1777906563.953,pflash_load,1,51,0,22.70,230.00,1,24576,0
1777906565.009,pflash_load,0,45,58,29.18,230.00,1,24576,0
1777906565.009,pflash_load,1,51,0,22.50,230.00,1,24576,0
1777906566.058,pflash_load,0,45,58,29.24,230.00,1,24576,0
1777906566.058,pflash_load,1,51,0,22.42,230.00,1,24576,0
1777906567.108,pflash_load,0,45,58,29.25,230.00,1,24576,0
1777906567.108,pflash_load,1,51,0,22.56,230.00,1,24576,0
1777906568.160,pflash_load,0,45,57,29.01,230.00,1,24576,0
